title,description,address,locality,region,latitude,longitude,price,currency,propertyType,postedBy,sellerName,url
3 BHK Apartment for Sale in Masab Tank Hyderabad,,,Masab Tank,Hyderabad,17.401342941220975,78.45687405840116,,,Apartment,,,https://www.magicbricks.com/propertyDetails/3-BHK-1650-Sq-ft-Multistorey-Apartment-FOR-Sale-Masab-Tank-in-Hyderabad&id=4d423637323035333635
3 BHK Villa for Sale in Dammaiguda Hyderabad,,,Dammaiguda,Hyderabad,17.5012465,78.5997209,,,SingleFamilyResidence,,,https://www.magicbricks.com/propertyDetails/3-BHK-1612-Sq-ft-Villa-FOR-Sale-Dammaiguda-in-Hyderabad&id=4d423731343636393437
3 BHK Apartment for Sale in Ameenpur Hyderabad,,,,Hyderabad,17.5265125876332,78.3316496153237,,,Apartment,,,https://www.magicbricks.com/propertyDetails/3-BHK-2055-Sq-ft-Multistorey-Apartment-FOR-Sale-Ameenpur-in-Hyderabad&id=4d423830343731333933
4 BHK Villa for Sale in Gundlapochampalli Hyderabad,,,Gundlapochampalli,Hyderabad,17.57292366027832,78.4734115600586,,,SingleFamilyResidence,,,https://www.magicbricks.com/propertyDetails/4-BHK-2400-Sq-ft-Villa-FOR-Sale-Gundlapochampalli-in-Hyderabad&id=4d423739373733363339
2 BHK  House for Sale in Adibatla Hyderabad,,,Adibatla,Hyderabad,17.2343752,78.543781,,,SingleFamilyResidence,,,https://www.magicbricks.com/propertyDetails/2-BHK-1700-Sq-ft-Residential-House-FOR-Sale-Adibatla-in-Hyderabad&id=4d423638323531303337
3 BHK Apartment for Sale in Nanakramguda Hyderabad,,,,Hyderabad,,,,,Apartment,,,https://www.magicbricks.com/propertyDetails/3-BHK-1200-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Hyderabad&id=4d423638323830323335
3 BHK Apartment for Sale in Nagole Hyderabad,,,Nagole,Hyderabad,17.3647205,78.5665472,,,Apartment,,,https://www.magicbricks.com/propertyDetails/3-BHK-1510-Sq-ft-Multistorey-Apartment-FOR-Sale-Nagole-in-Hyderabad&id=4d423632303737393139
9 BHK  House for Sale in Moula Ali Hyderabad,,,Moula Ali,Hyderabad,17.4573369,78.560785,,,SingleFamilyResidence,,,https://www.magicbricks.com/propertyDetails/9-BHK-5616-Sq-ft-Residential-House-FOR-Sale-Moula-Ali-in-Hyderabad&id=4d423630393533383033
2 BHK  House for Sale in Badangpet Hyderabad,,,Badangpet,Hyderabad,17.3021345311744,78.5280636394728,,,SingleFamilyResidence,,,https://www.magicbricks.com/propertyDetails/2-BHK-1500-Sq-ft-Residential-House-FOR-Sale-Badangpet-in-Hyderabad&id=4d423736383736363935
3 BHK  House for Sale in Kazipally Medak Hyderabad,,,Kazipally Medak,Hyderabad,18.013591766357422,78.31892395019531,,,SingleFamilyResidence,,,https://www.magicbricks.com/propertyDetails/3-BHK-1940-Sq-ft-Residential-House-FOR-Sale-Kazipally-Medak-in-Hyderabad&id=4d423732393634323435
"2 BHK Apartment for Sale in Hafeezpet, NH 9 Hyderabad",,,Hafeezpet,Hyderabad,17.485805,78.352671,,,Apartment,,,https://www.magicbricks.com/propertyDetails/2-BHK-1240-Sq-ft-Multistorey-Apartment-FOR-Sale-Hafeezpet-in-Hyderabad&id=4d423730353030393237
"2 BHK  House for Sale in Machabollaram, Medchal Road Hyderabad",,,Machabollaram,Hyderabad,17.5158382666158,78.5112942076793,,,SingleFamilyResidence,,,https://www.magicbricks.com/propertyDetails/2-BHK-1600-Sq-ft-Residential-House-FOR-Sale-Machabollaram-in-Hyderabad&id=4d423435363739393039
5 BHK  House for Sale in Hakimpet Hyderabad,,,,Hyderabad,,,,,SingleFamilyResidence,,,https://www.magicbricks.com/propertyDetails/5-BHK-125-Sq-yrd-Residential-House-FOR-Sale-Hakimpet-in-Hyderabad&id=4d423732373036313133
"2 BHK  House for Sale in Vanasthalipuram, NH 9 Hyderabad",,,Vanasthalipuram,Hyderabad,17.3238888273844,78.5756320027867,,,SingleFamilyResidence,,,https://www.magicbricks.com/propertyDetails/2-BHK-150-Sq-yrd-Residential-House-FOR-Sale-Vanasthalipuram-in-Hyderabad&id=4d423631363132303031
4 BHK  House for Sale in Balapur Hyderabad,,,Balapur,Hyderabad,17.301606,78.503743,,,SingleFamilyResidence,,,https://www.magicbricks.com/propertyDetails/4-BHK-150-Sq-yrd-Residential-House-FOR-Sale-Balapur-in-Hyderabad&id=4d423733303539343531
  House for Sale in Amberpet Hyderabad,,,Amberpet,Hyderabad,17.4008705,78.5227905,,,SingleFamilyResidence,,,https://www.magicbricks.com/propertyDetails/624-Sq-yrd-Residential-House-FOR-Sale-Amberpet-in-Hyderabad&id=4d423233363736323331
3 BHK Builder Floor for Sale in Rai Durg Hyderabad,,,Rai Durg,Hyderabad,17.4210469334674,78.3847371173505,,,Apartment,,,https://www.magicbricks.com/propertyDetails/3-BHK-1710-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Rai-Durg-in-Hyderabad&id=4d423730313735343335
4 BHK Apartment for Sale in Diamond Hills Colony Hyderabad,,,,Hyderabad,17.39542217,78.39087559,,,Apartment,,,https://www.magicbricks.com/propertyDetails/4-BHK-1800-Sq-ft-Multistorey-Apartment-FOR-Sale-Diamond-Hills-Colony-in-Hyderabad&id=4d423734303436373931
